Time_UTC,Host_Name,EID,UID,Source_IP,Dest_IP,Dest_Port,Message,Event_Type
2025-10-20 00:00:00,EDR,8397,svc_account,192.168.1.9,192.168.1.9,443,"Inbound email flagged as spear phishing, potentially delivering QakBot.",Email_Blocked
2025-10-20 00:00:02,EDR,3792,user_a,192.168.1.9,203.0.113.5,80,"Inbound email flagged as spear phishing, potentially delivering Clop.",Email_Blocked
2025-10-20 00:00:08,Firewall,2033,svc_account,203.0.113.3,192.168.1.9,443,Network scan detected. Vulnerability check for CVE-2024-4228 initiated by APT29 source.,Vulnerability_Scan
2025-10-20 00:00:09,SIEM,5752,admin_corp,203.0.113.1,192.168.1.4,443,User user_a authenticated successfully via service 8399.,Auth_Fail
2025-10-20 00:00:04,Firewall,3664,admin_corp,203.0.113.1,1.1.1.1,22,Suspicious activity: FIN7 executed LockBit malware. File hash is 9d1eb7495d191a0e.,File_Write
2025-10-20 00:00:15,Proxy,7473,admin_corp,192.168.1.6,192.168.1.4,443,"Inbound email flagged as spear phishing, potentially delivering LockBit.",Email_Blocked
2025-10-20 00:00:30,SIEM,8329,svc_account,192.168.1.1,192.168.1.5,443,Suspicious activity: APT29 executed Clop malware. File hash is d103b3e5e359b78f.,File_Write
2025-10-20 00:00:21,SIEM,8086,user_a,192.168.1.5,192.168.1.4,21,User admin_corp authenticated successfully via service 8223.,Auth_Fail
2025-10-20 00:00:16,SIEM,9999,user_a,192.168.1.9,203.0.113.2,22,Suspicious activity: Lazarus Group executed Emotet malware. File hash is f4f3c27ba202bce1.,File_Write
2025-10-20 00:00:09,Proxy,3857,admin_corp,203.0.113.1,192.168.1.5,3389,"Inbound email flagged as spear phishing, potentially delivering LockBit.",Email_Blocked
2025-10-20 00:00:20,Proxy,8169,guest_ext,192.168.1.10,192.168.1.9,80,Suspicious activity: APT29 executed TrickBot malware. File hash is 283e1c40ee7e8080.,File_Write
2025-10-20 00:00:11,Firewall,7025,guest_ext,192.168.1.9,192.168.1.6,21,User admin_corp authenticated successfully via service 8190.,Network_Conn
2025-10-20 00:00:24,Firewall,4170,svc_account,192.168.1.7,192.168.1.10,80,Suspicious activity: WIZARD SPIDER executed Emotet malware. File hash is e2f1449e570d47e9.,File_Write
2025-10-20 00:00:39,Proxy,2092,admin_corp,203.0.113.4,192.168.1.5,22,Network scan detected. Vulnerability check for CVE-2025-0101 initiated by Mustang Panda source.,Vulnerability_Scan
2025-10-20 00:01:10,SIEM,4414,svc_account,192.168.1.8,192.168.1.2,443,Network scan detected. Vulnerability check for CVE-2024-4228 initiated by WIZARD SPIDER source.,Vulnerability_Scan
2025-10-20 00:01:15,Firewall,7818,guest_ext,192.168.1.5,192.168.1.1,3389,Network scan detected. Vulnerability check for CVE-2025-0101 initiated by WIZARD SPIDER source.,Vulnerability_Scan
2025-10-20 00:00:32,SIEM,1179,user_a,203.0.113.2,203.0.113.3,80,"Inbound email flagged as spear phishing, potentially delivering QakBot.",Email_Blocked
2025-10-20 00:00:17,Firewall,5522,user_a,203.0.113.2,192.168.1.5,443,Network scan detected. Vulnerability check for CVE-2023-3456 initiated by WIZARD SPIDER source.,Vulnerability_Scan
2025-10-20 00:01:12,EDR,9839,admin_corp,192.168.1.3,192.168.1.5,22,User admin_corp authenticated successfully via service 8081.,Auth_Fail
2025-10-20 00:00:19,EDR,1490,guest_ext,203.0.113.4,192.168.1.5,22,Network scan detected. Vulnerability check for CVE-2024-4228 initiated by FIN7 source.,Vulnerability_Scan
2025-10-20 00:01:20,Firewall,3215,user_a,192.168.1.10,203.0.113.5,80,User guest_ext authenticated successfully via service 8818.,Auth_Fail
2025-10-20 00:00:21,SIEM,9280,guest_ext,192.168.1.1,203.0.113.4,80,Suspicious activity: FIN7 executed LockBit malware. File hash is 040be3be50fe47e8.,File_Write
2025-10-20 00:01:06,Proxy,4298,svc_account,192.168.1.10,1.1.1.1,21,User guest_ext authenticated successfully via service 8449.,Network_Conn
2025-10-20 00:01:32,Proxy,6455,svc_account,192.168.1.7,192.168.1.7,80,Suspicious activity: FIN7 executed TrickBot malware. File hash is c48da7536d1bb732.,File_Write
2025-10-20 00:01:12,Proxy,4902,admin_corp,192.168.1.2,1.1.1.1,80,User guest_ext authenticated successfully via service 8719.,Auth_Fail
2025-10-20 00:01:15,Firewall,3035,user_a,203.0.113.4,203.0.113.5,3389,User svc_account authenticated successfully via service 8443.,Network_Conn
2025-10-20 00:01:18,Proxy,6515,user_a,203.0.113.1,203.0.113.2,80,User svc_account authenticated successfully via service 8146.,Auth_Fail
2025-10-20 00:01:48,Firewall,5220,user_a,203.0.113.1,1.1.1.1,3389,Network scan detected. Vulnerability check for CVE-2023-3456 initiated by WIZARD SPIDER source.,Vulnerability_Scan
2025-10-20 00:01:24,EDR,4118,admin_corp,203.0.113.2,203.0.113.4,443,Network scan detected. Vulnerability check for CVE-2025-0101 initiated by WIZARD SPIDER source.,Vulnerability_Scan
