Time_Stamp,Log_Source,Event_ID,Username,Source_IP,Destination_IP,Source_Port,Dest_Port,Event_Description,Category_Type
,Proxy,,,,,9486.0,22.0,,Auth_Fail
2025-10-20 00:00:01,,,user_a,203.0.113.2,192.168.1.1,30216.0,,,Vulnerability_Scan
2025-10-20 00:00:04,SIEM,,,,,58671.0,21.0,,
,Proxy,,svc_account,192.168.1.1,1.1.1.1,47234.0,,"Inbound email flagged as spear phishing, potentially delivering TrickBot.",
2025-10-20 00:00:12,,8837.0,,,192.168.1.7,,,,
2025-10-20 00:00:20,,,guest_ext,192.168.1.9,203.0.113.2,,80.0,User user_a authenticated successfully via service 8626.,
2025-10-20 00:00:30,SIEM,,user_a,192.168.1.10,,55563.0,21.0,"Inbound email flagged as spear phishing, potentially delivering QakBot.",Email_Blocked
2025-10-20 00:00:14,,2170.0,,,,21275.0,,,Auth_Fail
2025-10-20 00:00:08,EDR,,admin_corp,192.168.1.8,,,443.0,,
,,,user_a,192.168.1.10,,,,,
,SIEM,2300.0,user_a,,192.168.1.10,38034.0,21.0,,
,,8751.0,user_a,,,42884.0,,"Inbound email flagged as spear phishing, potentially delivering Emotet.",Email_Blocked
,SIEM,,,203.0.113.4,192.168.1.6,,,,Vulnerability_Scan
2025-10-20 00:00:52,,6647.0,admin_corp,203.0.113.1,192.168.1.1,28367.0,3389.0,"Inbound email flagged as spear phishing, potentially delivering Clop.",
,EDR,,,,,53486.0,22.0,,Auth_Fail
2025-10-20 00:01:00,,6967.0,user_a,203.0.113.5,203.0.113.1,31481.0,,,
,,,admin_corp,,,65194.0,80.0,,File_Write
2025-10-20 00:00:17,,,,,,53659.0,22.0,,Vulnerability_Scan
2025-10-20 00:01:12,,9969.0,,192.168.1.8,,,80.0,,Network_Conn
,Proxy,,,,192.168.1.6,,22.0,User admin_corp authenticated successfully via service 8583.,
,EDR,,svc_account,203.0.113.2,192.168.1.3,,3389.0,,Auth_Fail
2025-10-20 00:00:42,,,,203.0.113.3,,,,,Auth_Fail
,,5046.0,admin_corp,192.168.1.1,,,22.0,,
,Firewall,2022.0,guest_ext,,192.168.1.2,,,Network scan detected. Vulnerability check for CVE-2024-4228 initiated by APT29 source.,
,,,,,192.168.1.5,48038.0,22.0,User admin_corp authenticated successfully via service 8988.,Auth_Fail
,,5361.0,,,192.168.1.4,,22.0,User user_a authenticated successfully via service 8887.,Auth_Fail
2025-10-20 00:00:26,,,,203.0.113.4,192.168.1.4,,80.0,,
,SIEM,1345.0,,203.0.113.2,,,,,Network_Conn
2025-10-20 00:00:28,SIEM,2861.0,guest_ext,,1.1.1.1,1570.0,,,Auth_Fail
2025-10-20 00:00:29,,,,203.0.113.3,,12975.0,80.0,"Inbound email flagged as spear phishing, potentially delivering TrickBot.",
2025-10-20 00:02:30,Proxy,,admin_corp,192.168.1.8,,,,User guest_ext authenticated successfully via service 8315.,Network_Conn
2025-10-20 00:01:02,Firewall,,,,192.168.1.10,60214.0,3389.0,User user_a authenticated successfully via service 8751.,Network_Conn
2025-10-20 00:00:32,EDR,,,192.168.1.2,,64683.0,,,
2025-10-20 00:02:45,EDR,,,,,,,User guest_ext authenticated successfully via service 8922.,Auth_Fail
2025-10-20 00:01:08,SIEM,8372.0,,192.168.1.2,1.1.1.1,16642.0,21.0,Network scan detected. Vulnerability check for CVE-2024-5005 initiated by Lazarus Group source.,
2025-10-20 00:01:10,,,svc_account,,203.0.113.5,40540.0,443.0,,File_Write
2025-10-20 00:01:12,EDR,5884.0,svc_account,192.168.1.9,,47634.0,,User user_a authenticated successfully via service 8465.,
,SIEM,2796.0,guest_ext,,,,21.0,,File_Write
,EDR,,,192.168.1.4,,,,,
,,1505.0,,,203.0.113.5,,,Suspicious activity: Mustang Panda executed Emotet malware. File hash is 82251110045cdc47.,
,,3852.0,,192.168.1.5,,4104.0,,,
2025-10-20 00:02:03,,5563.0,,,,10716.0,,,Network_Conn
,,,,,192.168.1.1,5850.0,22.0,User user_a authenticated successfully via service 8767.,Network_Conn
2025-10-20 00:02:09,Firewall,,admin_corp,192.168.1.10,192.168.1.1,24476.0,80.0,,File_Write
2025-10-20 00:03:40,EDR,7381.0,,,192.168.1.5,,443.0,User admin_corp authenticated successfully via service 8297.,Auth_Fail
2025-10-20 00:02:15,EDR,,user_a,,,58871.0,21.0,,
2025-10-20 00:03:50,Proxy,5745.0,,192.168.1.6,203.0.113.3,58024.0,3389.0,,File_Write
2025-10-20 00:01:34,,,user_a,203.0.113.3,,,,,
,SIEM,,user_a,,192.168.1.2,,,Network scan detected. Vulnerability check for CVE-2023-3456 initiated by Lazarus Group source.,Vulnerability_Scan
2025-10-20 00:03:16,Firewall,9285.0,,,192.168.1.7,,22.0,Suspicious activity: WIZARD SPIDER executed QakBot malware. File hash is d4b3fb09724c6d00.,File_Write
,,,guest_ext,192.168.1.2,,9684.0,3389.0,,
,,8656.0,guest_ext,,,,22.0,,
,Proxy,7184.0,,192.168.1.5,,5882.0,,Network scan detected. Vulnerability check for CVE-2025-0101 initiated by WIZARD SPIDER source.,Vulnerability_Scan
,EDR,,,,,43993.0,,User guest_ext authenticated successfully via service 8437.,Auth_Fail
,,,guest_ext,192.168.1.10,,,,,Vulnerability_Scan
,,,guest_ext,,192.168.1.5,32846.0,3389.0,,Network_Conn
,,,,192.168.1.6,203.0.113.4,40866.0,22.0,User user_a authenticated successfully via service 8058.,
2025-10-20 00:01:54,Firewall,8603.0,svc_account,192.168.1.9,,,21.0,User svc_account authenticated successfully via service 8947.,
,EDR,,admin_corp,,203.0.113.5,,80.0,User svc_account authenticated successfully via service 8432.,
2025-10-20 00:03:56,,,,,,20904.0,,,
,SIEM,,svc_account,,192.168.1.3,23188.0,21.0,Suspicious activity: Mustang Panda executed Clop malware. File hash is 70e80d5a75a03469.,
2025-10-20 00:03:03,,1018.0,,,,56117.0,,"Inbound email flagged as spear phishing, potentially delivering TrickBot.",
,,,admin_corp,192.168.1.6,,24521.0,,"Inbound email flagged as spear phishing, potentially delivering QakBot.",Email_Blocked
,Proxy,3238.0,guest_ext,,,,,"Inbound email flagged as spear phishing, potentially delivering TrickBot.",
,,,,203.0.113.2,192.168.1.9,,,User guest_ext authenticated successfully via service 8277.,Auth_Fail
2025-10-20 00:03:15,Proxy,,user_a,192.168.1.10,192.168.1.2,,80.0,User guest_ext authenticated successfully via service 8484.,Auth_Fail
2025-10-20 00:05:30,Proxy,,,203.0.113.4,1.1.1.1,47922.0,,,File_Write
,Firewall,9475.0,user_a,,203.0.113.2,,,Network scan detected. Vulnerability check for CVE-2023-3456 initiated by Mustang Panda source.,Vulnerability_Scan
2025-10-20 00:05:40,Firewall,5850.0,admin_corp,203.0.113.1,203.0.113.3,3739.0,,,Network_Conn
,,6353.0,admin_corp,203.0.113.1,,,,Suspicious activity: WIZARD SPIDER executed Clop malware. File hash is 641895533899eeb1.,File_Write
2025-10-20 00:05:50,EDR,,guest_ext,,192.168.1.1,,,"Inbound email flagged as spear phishing, potentially delivering TrickBot.",
2025-10-20 00:03:33,SIEM,,user_a,,192.168.1.5,,80.0,User guest_ext authenticated successfully via service 8044.,
2025-10-20 00:04:48,EDR,1860.0,user_a,,1.1.1.1,47872.0,443.0,,Email_Blocked
,,2088.0,guest_ext,,192.168.1.5,,,User admin_corp authenticated successfully via service 8059.,Network_Conn
2025-10-20 00:03:42,EDR,,admin_corp,192.168.1.5,,32223.0,,User admin_corp authenticated successfully via service 8235.,
,EDR,,,,192.168.1.10,,,,File_Write
2025-10-20 00:01:16,EDR,9073.0,guest_ext,192.168.1.8,203.0.113.3,,,,Vulnerability_Scan
2025-10-20 00:01:17,,8809.0,svc_account,,1.1.1.1,,,,Network_Conn
,SIEM,,,192.168.1.3,203.0.113.5,18305.0,21.0,,
,EDR,,svc_account,192.168.1.6,,60116.0,21.0,,Email_Blocked
,,5911.0,guest_ext,192.168.1.3,,,,,Email_Blocked
,,3015.0,user_a,,,40576.0,443.0,Suspicious activity: APT29 executed QakBot malware. File hash is 0b40dd21196ae4f4.,File_Write
,,5714.0,admin_corp,,192.168.1.6,,,,
2025-10-20 00:04:09,,,user_a,192.168.1.10,203.0.113.5,56493.0,22.0,,
2025-10-20 00:04:12,,,,,,,,,Vulnerability_Scan
2025-10-20 00:05:40,,7634.0,admin_corp,192.168.1.4,,,22.0,User user_a authenticated successfully via service 8884.,Network_Conn
,Firewall,,guest_ext,192.168.1.10,192.168.1.7,18401.0,22.0,,
,Firewall,,svc_account,,192.168.1.10,,,Network scan detected. Vulnerability check for CVE-2024-4228 initiated by FIN7 source.,
2025-10-20 00:02:56,,,admin_corp,192.168.1.1,,,21.0,,Network_Conn
,SIEM,4592.0,guest_ext,,,32021.0,,,
2025-10-20 00:03:00,SIEM,,guest_ext,192.168.1.2,203.0.113.1,11319.0,,,
,,,,,,,3389.0,,
,Proxy,6345.0,,,203.0.113.1,34575.0,,Suspicious activity: FIN7 executed LockBit malware. File hash is 759c1c77592220c8.,File_Write
,Proxy,3221.0,svc_account,,192.168.1.3,31439.0,443.0,,
2025-10-20 00:01:34,Proxy,1721.0,,,,33051.0,,,Vulnerability_Scan
,,,,192.168.1.3,192.168.1.9,39034.0,21.0,,File_Write
2025-10-20 00:08:00,,,,192.168.1.10,192.168.1.1,,443.0,Network scan detected. Vulnerability check for CVE-2023-3456 initiated by Mustang Panda source.,Vulnerability_Scan
2025-10-20 00:01:37,,,,192.168.1.6,,18586.0,,,Network_Conn
,,,admin_corp,192.168.1.10,,36668.0,3389.0,Suspicious activity: APT29 executed Clop malware. File hash is ceb6b207b6d94d77.,File_Write
2025-10-20 00:04:57,Proxy,,svc_account,192.168.1.1,,,80.0,,
2025-10-20 00:08:20,Firewall,,svc_account,,,,,,
2025-10-20 00:06:44,Firewall,7380.0,,,,59396.0,,"Inbound email flagged as spear phishing, potentially delivering LockBit.",Email_Blocked
2025-10-20 00:01:42,Proxy,4414.0,guest_ext,,1.1.1.1,,,,Auth_Fail
,EDR,6607.0,admin_corp,,,10040.0,80.0,,
,,3281.0,,,,55913.0,21.0,,
2025-10-20 00:03:30,,,admin_corp,,192.168.1.2,54853.0,,Network scan detected. Vulnerability check for CVE-2024-5005 initiated by APT29 source.,Vulnerability_Scan
,,,admin_corp,,203.0.113.4,,,"Inbound email flagged as spear phishing, potentially delivering Clop.",
2025-10-20 00:08:55,Proxy,7768.0,user_a,203.0.113.5,203.0.113.1,50305.0,443.0,Network scan detected. Vulnerability check for CVE-2025-0101 initiated by Lazarus Group source.,
,EDR,1849.0,svc_account,,,,,,Vulnerability_Scan
2025-10-20 00:01:49,Proxy,5178.0,,203.0.113.2,203.0.113.1,,,,
2025-10-20 00:05:30,EDR,,guest_ext,,,,,,Network_Conn
,Firewall,4679.0,,,1.1.1.1,45813.0,,Network scan detected. Vulnerability check for CVE-2025-0101 initiated by FIN7 source.,Vulnerability_Scan
2025-10-20 00:03:44,,3306.0,,,,33996.0,,User guest_ext authenticated successfully via service 8308.,Auth_Fail
2025-10-20 00:05:39,SIEM,5781.0,svc_account,,,,3389.0,Network scan detected. Vulnerability check for CVE-2024-4228 initiated by Lazarus Group source.,
,Proxy,,,,203.0.113.5,29211.0,3389.0,,
2025-10-20 00:05:45,Proxy,,,,,,80.0,,Auth_Fail
,SIEM,,user_a,192.168.1.10,203.0.113.3,,,,
,,,guest_ext,192.168.1.6,192.168.1.4,,80.0,Network scan detected. Vulnerability check for CVE-2025-0101 initiated by FIN7 source.,
2025-10-20 00:01:58,EDR,,svc_account,,,,443.0,"Inbound email flagged as spear phishing, potentially delivering QakBot.",
,,,,,,37128.0,,,
2025-10-20 00:02:00,,8316.0,,,,,,,
,,,guest_ext,192.168.1.9,203.0.113.5,,,,
,Proxy,9988.0,user_a,192.168.1.1,192.168.1.2,44017.0,443.0,,
,SIEM,9382.0,,192.168.1.7,,47659.0,,,
2025-10-20 00:06:12,Firewall,,,192.168.1.1,192.168.1.2,,80.0,User guest_ext authenticated successfully via service 8355.,
