Time_Stamp,Log_Source,Event_ID,Username,Source_IP,Destination_IP,Source_Port,Dest_Port,Event_Description,Category_Type
2025-10-20 00:00:00,SIEM,6781,user_a,192.168.1.6,203.0.113.5,44005,80,User svc_account authenticated successfully via service 8590.,Network_Conn
2025-10-20 00:00:02,SIEM,5102,guest_ext,192.168.1.6,192.168.1.3,34245,3389,User user_a authenticated successfully via service 8282.,Auth_Fail
2025-10-20 00:00:04,Firewall,8172,svc_account,192.168.1.2,192.168.1.7,10224,443,Network scan detected. Vulnerability check for CVE-2024-5005 initiated by Mustang Panda source.,Vulnerability_Scan
2025-10-20 00:00:09,EDR,9033,admin_corp,203.0.113.4,1.1.1.1,14984,3389,Network scan detected. Vulnerability check for CVE-2025-0101 initiated by WIZARD SPIDER source.,Vulnerability_Scan
2025-10-20 00:00:12,SIEM,1634,admin_corp,203.0.113.4,203.0.113.5,16743,21,Network scan detected. Vulnerability check for CVE-2024-4228 initiated by APT29 source.,Vulnerability_Scan
2025-10-20 00:00:25,EDR,1865,svc_account,203.0.113.4,203.0.113.5,19700,80,Suspicious activity: APT29 executed Clop malware. File hash is 24806405475aa611.,File_Write
2025-10-20 00:00:12,Proxy,8136,svc_account,192.168.1.7,203.0.113.3,61867,22,"Inbound email flagged as spear phishing, potentially delivering Emotet.",Email_Blocked
2025-10-20 00:00:35,SIEM,6535,svc_account,192.168.1.1,203.0.113.2,56915,80,Suspicious activity: Lazarus Group executed QakBot malware. File hash is cf9c5944086f826f.,File_Write
2025-10-20 00:00:16,EDR,4494,svc_account,192.168.1.3,203.0.113.3,61580,22,Network scan detected. Vulnerability check for CVE-2024-5005 initiated by WIZARD SPIDER source.,Vulnerability_Scan
2025-10-20 00:00:09,Firewall,5046,svc_account,192.168.1.9,203.0.113.5,10723,22,Network scan detected. Vulnerability check for CVE-2024-4228 initiated by Lazarus Group source.,Vulnerability_Scan
2025-10-20 00:00:30,Proxy,2196,user_a,203.0.113.4,203.0.113.1,40673,22,Network scan detected. Vulnerability check for CVE-2024-4228 initiated by APT29 source.,Vulnerability_Scan
2025-10-20 00:00:11,Proxy,2336,user_a,203.0.113.5,203.0.113.3,14947,80,"Inbound email flagged as spear phishing, potentially delivering LockBit.",Email_Blocked
2025-10-20 00:00:24,Firewall,4091,admin_corp,192.168.1.9,192.168.1.4,9263,443,"Inbound email flagged as spear phishing, potentially delivering LockBit.",Email_Blocked
2025-10-20 00:00:39,Firewall,2039,user_a,203.0.113.5,203.0.113.5,29552,22,"Inbound email flagged as spear phishing, potentially delivering Clop.",Email_Blocked
2025-10-20 00:01:10,Proxy,6134,user_a,203.0.113.5,192.168.1.3,4175,80,User svc_account authenticated successfully via service 8310.,Network_Conn
2025-10-20 00:01:00,SIEM,3192,guest_ext,192.168.1.10,192.168.1.9,3507,21,Network scan detected. Vulnerability check for CVE-2023-3456 initiated by Mustang Panda source.,Vulnerability_Scan
2025-10-20 00:01:04,EDR,1073,guest_ext,192.168.1.2,192.168.1.3,42732,80,User guest_ext authenticated successfully via service 8827.,Auth_Fail
2025-10-20 00:01:25,EDR,3992,user_a,192.168.1.10,203.0.113.1,33005,3389,Network scan detected. Vulnerability check for CVE-2024-4228 initiated by WIZARD SPIDER source.,Vulnerability_Scan
2025-10-20 00:01:30,SIEM,6636,svc_account,192.168.1.8,1.1.1.1,34175,21,"Inbound email flagged as spear phishing, potentially delivering Emotet.",Email_Blocked
2025-10-20 00:00:57,Proxy,3793,guest_ext,203.0.113.2,1.1.1.1,49632,3389,"Inbound email flagged as spear phishing, potentially delivering Emotet.",Email_Blocked
2025-10-20 00:01:20,Proxy,1262,svc_account,192.168.1.10,192.168.1.10,45201,22,User admin_corp authenticated successfully via service 8581.,Auth_Fail
2025-10-20 00:00:21,Proxy,5297,admin_corp,192.168.1.7,203.0.113.3,63528,3389,User admin_corp authenticated successfully via service 8942.,Auth_Fail
2025-10-20 00:01:06,Firewall,2237,svc_account,192.168.1.10,203.0.113.1,34422,80,Network scan detected. Vulnerability check for CVE-2025-0101 initiated by WIZARD SPIDER source.,Vulnerability_Scan
2025-10-20 00:01:32,EDR,8503,svc_account,192.168.1.9,192.168.1.6,46231,22,User guest_ext authenticated successfully via service 8952.,Network_Conn
2025-10-20 00:01:12,Proxy,5633,admin_corp,203.0.113.4,192.168.1.7,32537,22,User admin_corp authenticated successfully via service 8933.,Auth_Fail
2025-10-20 00:01:40,Firewall,2740,guest_ext,192.168.1.2,203.0.113.2,29949,80,Suspicious activity: WIZARD SPIDER executed Clop malware. File hash is 2a1a5c2d76b0d6f5.,File_Write
2025-10-20 00:02:10,Firewall,6090,admin_corp,203.0.113.4,192.168.1.6,16530,3389,User guest_ext authenticated successfully via service 8350.,Auth_Fail
2025-10-20 00:01:48,SIEM,4100,user_a,192.168.1.9,1.1.1.1,24487,80,User user_a authenticated successfully via service 8634.,Network_Conn
2025-10-20 00:02:20,EDR,6115,admin_corp,203.0.113.2,192.168.1.2,63749,21,Network scan detected. Vulnerability check for CVE-2024-4228 initiated by Lazarus Group source.,Vulnerability_Scan
2025-10-20 00:00:58,Firewall,8835,guest_ext,192.168.1.1,192.168.1.9,65327,443,User admin_corp authenticated successfully via service 8708.,Auth_Fail
2025-10-20 00:01:00,EDR,1385,user_a,192.168.1.9,192.168.1.5,47534,21,Suspicious activity: Lazarus Group executed TrickBot malware. File hash is dc912aa8e3f69ba9.,File_Write
2025-10-20 00:02:35,Firewall,2071,admin_corp,192.168.1.4,192.168.1.10,10708,443,Network scan detected. Vulnerability check for CVE-2025-0101 initiated by WIZARD SPIDER source.,Vulnerability_Scan
2025-10-20 00:00:32,Proxy,9062,guest_ext,192.168.1.4,192.168.1.10,56382,22,User svc_account authenticated successfully via service 8708.,Auth_Fail
2025-10-20 00:02:45,Firewall,8557,user_a,192.168.1.10,203.0.113.4,27794,443,User guest_ext authenticated successfully via service 8923.,Network_Conn
2025-10-20 00:02:16,Proxy,2683,svc_account,192.168.1.6,203.0.113.1,28601,21,"Inbound email flagged as spear phishing, potentially delivering Emotet.",Email_Blocked
2025-10-20 00:02:55,Firewall,3729,user_a,192.168.1.2,192.168.1.6,59848,443,User svc_account authenticated successfully via service 8962.,Network_Conn
2025-10-20 00:00:36,EDR,7848,guest_ext,192.168.1.6,1.1.1.1,46230,443,Suspicious activity: WIZARD SPIDER executed LockBit malware. File hash is 8b9e2f66c5766bb7.,File_Write
2025-10-20 00:02:28,EDR,4198,svc_account,192.168.1.3,192.168.1.9,8096,443,User admin_corp authenticated successfully via service 8428.,Auth_Fail
2025-10-20 00:01:16,SIEM,7460,guest_ext,203.0.113.5,192.168.1.7,29602,80,Suspicious activity: FIN7 executed QakBot malware. File hash is bdc38e038f909915.,File_Write
2025-10-20 00:00:39,Firewall,4216,admin_corp,192.168.1.5,192.168.1.2,50796,80,"Inbound email flagged as spear phishing, potentially delivering QakBot.",Email_Blocked
2025-10-20 00:01:20,Proxy,3775,svc_account,203.0.113.1,192.168.1.3,44084,3389,Suspicious activity: Lazarus Group executed Clop malware. File hash is ce7f128588d08b07.,File_Write
2025-10-20 00:02:03,Firewall,4643,admin_corp,203.0.113.2,192.168.1.10,58306,21,User user_a authenticated successfully via service 8244.,Auth_Fail
2025-10-20 00:03:30,Firewall,1449,svc_account,203.0.113.5,192.168.1.2,46156,3389,"Inbound email flagged as spear phishing, potentially delivering QakBot.",Email_Blocked
2025-10-20 00:02:09,Firewall,4173,admin_corp,192.168.1.9,192.168.1.3,61648,443,Network scan detected. Vulnerability check for CVE-2024-4228 initiated by APT29 source.,Vulnerability_Scan
2025-10-20 00:03:40,SIEM,3931,guest_ext,192.168.1.4,192.168.1.10,53662,443,Suspicious activity: FIN7 executed LockBit malware. File hash is 74794f4ce5eee906.,File_Write
2025-10-20 00:01:30,SIEM,6896,svc_account,192.168.1.9,203.0.113.3,23408,21,Suspicious activity: Mustang Panda executed TrickBot malware. File hash is e101cd5ecbbbf71e.,File_Write
2025-10-20 00:03:50,SIEM,1720,svc_account,192.168.1.7,192.168.1.1,42310,443,User user_a authenticated successfully via service 8568.,Auth_Fail
2025-10-20 00:00:47,Proxy,7102,user_a,203.0.113.1,192.168.1.5,52324,80,User svc_account authenticated successfully via service 8223.,Auth_Fail
2025-10-20 00:01:36,SIEM,2509,svc_account,192.168.1.5,203.0.113.5,22162,3389,Suspicious activity: Lazarus Group executed TrickBot malware. File hash is 405ad02d90dc99ee.,File_Write
2025-10-20 00:04:05,Firewall,3734,admin_corp,203.0.113.2,1.1.1.1,1775,22,User admin_corp authenticated successfully via service 8348.,Auth_Fail
2025-10-20 00:00:50,EDR,2462,admin_corp,203.0.113.4,192.168.1.4,39963,443,"Inbound email flagged as spear phishing, potentially delivering TrickBot.",Email_Blocked
2025-10-20 00:00:51,Proxy,8569,guest_ext,192.168.1.1,203.0.113.2,40798,21,Network scan detected. Vulnerability check for CVE-2024-4228 initiated by APT29 source.,Vulnerability_Scan
2025-10-20 00:03:28,SIEM,4441,admin_corp,203.0.113.1,192.168.1.8,25400,3389,User guest_ext authenticated successfully via service 8509.,Auth_Fail
2025-10-20 00:00:53,SIEM,4563,admin_corp,192.168.1.4,192.168.1.4,35440,80,Suspicious activity: Mustang Panda executed Emotet malware. File hash is 43f67807b815a9ad.,File_Write
2025-10-20 00:01:48,SIEM,6791,guest_ext,203.0.113.2,203.0.113.2,43546,80,Network scan detected. Vulnerability check for CVE-2024-4228 initiated by WIZARD SPIDER source.,Vulnerability_Scan
2025-10-20 00:03:40,EDR,6881,svc_account,192.168.1.7,203.0.113.2,63525,3389,User user_a authenticated successfully via service 8839.,Network_Conn
2025-10-20 00:04:40,Proxy,7781,admin_corp,203.0.113.3,192.168.1.9,8791,22,User svc_account authenticated successfully via service 8741.,Network_Conn
2025-10-20 00:00:57,Firewall,8264,admin_corp,192.168.1.3,1.1.1.1,28874,21,Network scan detected. Vulnerability check for CVE-2025-0101 initiated by WIZARD SPIDER source.,Vulnerability_Scan
2025-10-20 00:00:58,SIEM,6229,admin_corp,203.0.113.1,203.0.113.4,9115,3389,User svc_account authenticated successfully via service 8705.,Network_Conn
2025-10-20 00:00:59,EDR,8889,guest_ext,203.0.113.2,203.0.113.3,17682,22,User guest_ext authenticated successfully via service 8939.,Network_Conn
2025-10-20 00:03:00,Firewall,6353,svc_account,203.0.113.2,203.0.113.3,47038,443,User svc_account authenticated successfully via service 8097.,Auth_Fail
2025-10-20 00:02:02,Proxy,1106,svc_account,192.168.1.5,192.168.1.2,37812,80,User user_a authenticated successfully via service 8212.,Network_Conn
2025-10-20 00:02:04,Firewall,4938,user_a,192.168.1.1,203.0.113.4,41070,80,User user_a authenticated successfully via service 8359.,Network_Conn
2025-10-20 00:04:12,EDR,7265,admin_corp,203.0.113.4,203.0.113.3,56803,443,User svc_account authenticated successfully via service 8454.,Auth_Fail
2025-10-20 00:04:16,SIEM,8165,user_a,203.0.113.3,192.168.1.2,7586,22,"Inbound email flagged as spear phishing, potentially delivering Emotet.",Email_Blocked
2025-10-20 00:04:20,SIEM,7931,admin_corp,203.0.113.4,203.0.113.1,55408,21,"Inbound email flagged as spear phishing, potentially delivering TrickBot.",Email_Blocked
2025-10-20 00:03:18,EDR,8753,svc_account,203.0.113.1,192.168.1.5,48566,80,User svc_account authenticated successfully via service 8378.,Auth_Fail
2025-10-20 00:03:21,EDR,5186,admin_corp,192.168.1.2,192.168.1.2,11478,443,User guest_ext authenticated successfully via service 8391.,Network_Conn
2025-10-20 00:04:32,SIEM,4599,svc_account,192.168.1.6,192.168.1.4,54219,21,User svc_account authenticated successfully via service 8219.,Network_Conn
2025-10-20 00:04:36,SIEM,1815,admin_corp,192.168.1.6,192.168.1.5,12334,22,User admin_corp authenticated successfully via service 8167.,Network_Conn
2025-10-20 00:04:40,Proxy,8098,guest_ext,192.168.1.7,192.168.1.10,31257,443,User svc_account authenticated successfully via service 8567.,Network_Conn
2025-10-20 00:03:33,EDR,9894,admin_corp,192.168.1.9,192.168.1.6,51728,443,"Inbound email flagged as spear phishing, potentially delivering LockBit.",Email_Blocked
2025-10-20 00:01:12,Firewall,6444,guest_ext,192.168.1.3,192.168.1.6,38068,80,User admin_corp authenticated successfully via service 8448.,Network_Conn
2025-10-20 00:02:26,Proxy,7871,admin_corp,192.168.1.3,192.168.1.4,13411,80,"Inbound email flagged as spear phishing, potentially delivering TrickBot.",Email_Blocked
2025-10-20 00:06:10,EDR,9670,user_a,192.168.1.5,192.168.1.7,11603,80,User svc_account authenticated successfully via service 8992.,Auth_Fail
2025-10-20 00:03:45,EDR,1509,user_a,203.0.113.2,192.168.1.9,36376,443,"Inbound email flagged as spear phishing, potentially delivering Clop.",Email_Blocked
2025-10-20 00:05:04,Firewall,7197,user_a,192.168.1.4,192.168.1.5,21583,3389,Network scan detected. Vulnerability check for CVE-2024-4228 initiated by APT29 source.,Vulnerability_Scan
2025-10-20 00:05:08,Firewall,5994,admin_corp,192.168.1.8,203.0.113.3,44401,443,"Inbound email flagged as spear phishing, potentially delivering QakBot.",Email_Blocked
2025-10-20 00:05:12,EDR,7057,svc_account,192.168.1.4,192.168.1.2,43734,3389,Suspicious activity: APT29 executed Emotet malware. File hash is fb18f0ccff7a80da.,File_Write
2025-10-20 00:03:57,EDR,4661,user_a,192.168.1.1,192.168.1.10,30957,21,User guest_ext authenticated successfully via service 8210.,Network_Conn
2025-10-20 00:04:00,EDR,9547,guest_ext,203.0.113.3,192.168.1.8,21516,21,"Inbound email flagged as spear phishing, potentially delivering Clop.",Email_Blocked
2025-10-20 00:01:21,Proxy,1040,user_a,203.0.113.1,203.0.113.2,26476,21,Suspicious activity: FIN7 executed LockBit malware. File hash is 6fa538eb9013f224.,File_Write
2025-10-20 00:04:06,Proxy,7081,guest_ext,192.168.1.5,1.1.1.1,53752,80,User svc_account authenticated successfully via service 8697.,Network_Conn
2025-10-20 00:05:32,Firewall,3619,guest_ext,192.168.1.1,192.168.1.2,3108,3389,Suspicious activity: Lazarus Group executed Clop malware. File hash is 07ed16ff6151e691.,File_Write
2025-10-20 00:07:00,SIEM,9619,guest_ext,192.168.1.7,192.168.1.5,53914,22,Suspicious activity: WIZARD SPIDER executed TrickBot malware. File hash is e81a3feea25478dd.,File_Write
2025-10-20 00:01:25,SIEM,4231,user_a,203.0.113.3,192.168.1.5,53763,21,User svc_account authenticated successfully via service 8389.,Auth_Fail
2025-10-20 00:01:26,Proxy,5811,guest_ext,203.0.113.4,192.168.1.2,20775,22,Network scan detected. Vulnerability check for CVE-2024-5005 initiated by APT29 source.,Vulnerability_Scan
2025-10-20 00:05:48,EDR,5058,user_a,203.0.113.3,192.168.1.9,2610,22,User admin_corp authenticated successfully via service 8208.,Network_Conn
2025-10-20 00:01:28,Firewall,8487,guest_ext,192.168.1.5,1.1.1.1,28277,443,User guest_ext authenticated successfully via service 8373.,Auth_Fail
